7230;AELBERS;THEO;47533746;DOBBELSTEYNSTRAAT;256;4670;DE HAAN;BELGIUM;11/11/1972 0:00;WENDUINE;BELGIUM;member
8407;AELBERS;FRANCISCUS;39118613;GENIESKENSSTRAAT;255;2373;DE HAAN;BELGIUM;6/11/1952 0:00;LUIK;BELGIUM;nonmember
317;AELBERS;MARCEL;49683329;VELDSTRAAT;253;4667;WENDUINE;BELGIUM;28/08/1951 0:00;VEURNE;BELGIUM;member
5910;AELBERS;PIERRE;18823187;VELDSTRAAT;233;1529;DILSEN-STOKKEM;BELGIUM;22/06/1968 0:00;GENT;BELGIUM;nonmember
3622;AELBERS;FRANCISCUS;70544850;PASTOOR BREEMANSLAAN;226;5895;DOORNIK;BELGIUM;20/11/1953 0:00;MOLENBEEK;BELGIUM;member
3056;AELBERS;ANTONIUS;91081295;POPULIERENLAAN;215;5735;AALST;BELGIUM;23/12/1977 0:00;LEFFINGE;BELGIUM;nonmember
5710;AELBERS;MATHIJS;82018928;KANAAL;206;4435;DIEPENBEEK;BELGIUM;7/05/1969 0:00;WENDUINE;BELGIUM;member
1797;AELBERS;PIERRE;63961370;WEG NAAR GENEUTH;201;1337;DE PANNE;BELGIUM;9/06/1955 0:00;HOGNOUL;BELGIUM;nonmember
6750;AELBERS;WILLY;47602803;GROTESTRAAT;198;4098;ZUIENKERKE;BELGIUM;19/10/1959 0:00;GENT;BELGIUM;member
8052;AELBERS;HERWIG;48750648;ISAEKSTRAAT;197;1127;IEPER;BELGIUM;14/01/1966 0:00;BRUSTEM;BELGIUM;nonmember
8609;AELBERS;MARIE-GILBERT;30346767;PAALSTEENLAAN;195;2033;GENT;BELGIUM;27/03/1964 0:00;OOIGEM;BELGIUM;member
1556;AELBERS;LOUIS;82006000;HOOLSTERBERG;194;4177;VEURNE;BELGIUM;2/11/1953 0:00;NIEUWPOORT;BELGIUM;nonmember
7150;AELBERS;PAUL;67838855;HANGVELD;191;2855;NEEROETEREN;BELGIUM;8/03/1957 0:00;STENE;BELGIUM;member
596;AELBERS;CAMILLE;85637340;MAASEIKERSTEENWEG;189;3856;IZEGEM;BELGIUM;22/03/1955 0:00;DIEPENBEEK;BELGIUM;nonmember
7089;AELBERS;MARCEL;85699770;KERKSTRAAT;183;1088;WENDUINE;BELGIUM;1/06/1952 0:00;MARIAKERKE;BELGIUM;member
8916;AELBERS;JOSEPHINE;84764034;HEIWYCKSTRAAT;161;2403;BREDENE;BELGIUM;8/04/1964 0:00;GENT;BELGIUM;nonmember
7550;AELBERS;MARIE-HELENE;32503495;LADDERSTRAAT;155;1160;AALST;BELGIUM;26/05/1978 0:00;NIEUWPOORT;BELGIUM;member
1700;AELBERS;OMER;54576326;DELSTRAAT;152;5488;PEER;BELGIUM;24/05/1968 0:00;LEFFINGE;BELGIUM;nonmember
5392;AELBERS;MARIE-GILBERT;44266075;EISDENWEG;150;4372;ZUIENKERKE;BELGIUM;18/09/1973 0:00;ZUIENKERKE;BELGIUM;member
1250;AELBERS;DENISE;80033834;TIENSE VEST;133;5733;LANAKEN;BELGIUM;21/12/1954 0:00;BLANKENBERGE;BELGIUM;nonmember
